FID IID mass
8L89150 8L89150 34
8L89153 8L89153 32.8
8L89154 8L89154 29
8L89155 8L89155 31.5
8L89155 8L89155 30.4
8L89157 8L89157 30.3
8L89159 8L89159 32.2
8L89159 8L89159 31.4
8L89160 8L89160 30.7
8L89160 8L89160 36.2
8L89162 8L89162 29.4
8L89165 8L89165 31.2
8L89166 8L89166 30.4
8L89167 8L89167 31.2
8L89168 8L89168 32.6
8L89168 8L89168 NA
8L89169 8L89169 31.9
8L89170 8L89170 32.3
8L89171 8L89171 31.8
8L89172 8L89172 29
8L89172 8L89172 NA
8L89173 8L89173 30.4
8L89174 8L89174 30.9
8L89175 8L89175 34
8L89176 8L89176 32.2
8L89177 8L89177 31.3
8L89178 8L89178 31.4
8L89179 8L89179 30.3
8L89179 8L89179 33
8L89179 8L89179 31.6
8L89179 8L89179 31.8
8L89180 8L89180 28.8
8L89181 8L89181 27
8L89181 8L89181 29.2
8L89181 8L89181 27.2
8L89182 8L89182 31.5
8L89183 8L89183 31.4
8L89184 8L89184 31
8L89185 8L89185 30.8
8L89186 8L89186 30.8
8L89187 8L89187 29.4
8L89188 8L89188 30.5
8L89189 8L89189 30.2
8L89190 8L89190 31
8L89191 8L89191 30.7
8L89192 8L89192 31.5
8L89193 8L89193 32.5
8L89194 8L89194 27.5
8L89195 8L89195 30
8L89196 8L89196 31.4
8L89197 8L89197 30.4
8L89197 8L89197 29.4
8L89197 8L89197 29.4
8L89197 8L89197 29.7
8L89197 8L89197 31.4
8L89198 8L89198 32
8L89198 8L89198 NA
8L89199 8L89199 30.7
8L89200 8L89200 32.6
8L89202 8L89202 35.5
8L89211 8L89211 34.9
8L89211 8L89211 32
8L89230 8L89230 37.9
8L89230 8L89230 29.9
8L89244 8L89244 31.1
8L89245 8L89245 29.3
8L89245 8L89245 35.5
8L89245 8L89245 30.6
8L89245 8L89245 29.8
8L89254 8L89254 33
8L89254 8L89254 32.6
8L89254 8L89254 32.6
8L89256 8L89256 32.4
8L89256 8L89256 32.4
8L89256 8L89256 33.7
8L89259 8L89259 32.5
8L89265 8L89265 30
8L89265 8L89265 NA
8L89266 8L89266 31.4
8L89268 8L89268 NA
8L89268 8L89268 32.8
8L89269 8L89269 31.5
8L89269 8L89269 30.6
8L89271 8L89271 31.6
8L89273 8L89273 33.4
8L89274 8L89274 27.2
8L89274 8L89274 31.4
8L89274 8L89274 32.5
8L89276 8L89276 28.9
8L89276 8L89276 27.9
8L89276 8L89276 30.7
8L89277 8L89277 33.4
8L89282 8L89282 30.5
8L89296 8L89296 32.9
8L89296 8L89296 31.3
8L89296 8L89296 31
8L89298 8L89298 35.5
8L89298 8L89298 32.5
8L89298 8L89298 32.9
8L89299 8L89299 36.1
8L89299 8L89299 33.2
8L89299 8L89299 31.6
8L89299 8L89299 31.8
8L89299 8L89299 33.5
8L89299 8L89299 NA
8L89299 8L89299 30.2
8L89299 8L89299 32.7
8L89299 8L89299 30.6
8L89312 8L89312 32.9
8L89314 8L89314 29.6
8L89314 8L89314 NA
8L89314 8L89314 32.5
8L89324 8L89324 35.3
8L89326 8L89326 36
8L89326 8L89326 35.5
8L89334 8L89334 33.9
8L89334 8L89334 30.2
8L89334 8L89334 31.1
8L89334 8L89334 32.1
8L89335 8L89335 32.2
8L89335 8L89335 38.6
8L89336 8L89336 29.4
8L89336 8L89336 30.6
8L89337 8L89337 30.5
8L89337 8L89337 32.1
8L89337 8L89337 NA
8L89337 8L89337 NA
8L89337 8L89337 33.5
8L89340 8L89340 31
8L89340 8L89340 38.2
8L89340 8L89340 30.9
8L89340 8L89340 32.5
8L89340 8L89340 36.7
8L89340 8L89340 33.7
8L89349 8L89349 35.4
8L89349 8L89349 35.5
8L89349 8L89349 36
8L89349 8L89349 36.1
8L89349 8L89349 39.4
8L89352 8L89352 33.6
8L89352 8L89352 29
8L89352 8L89352 32.5
8L89352 8L89352 NA
8L89354 8L89354 30.6
8L89355 8L89355 31.3
8L89358 8L89358 31.8
8L89363 8L89363 31.4
8L89365 8L89365 34.4
8L89366 8L89366 31
8L89366 8L89366 31.4
8L89366 8L89366 33.5
8L89366 8L89366 33.5
8L89366 8L89366 33.5
8L89371 8L89371 27
8L89371 8L89371 28.2
8L89372 8L89372 32
8L89372 8L89372 29.5
8L89372 8L89372 31.2
8L89372 8L89372 27.9
8L89372 8L89372 30.8
8L89372 8L89372 NA
8L89372 8L89372 30.5
8L89372 8L89372 30.5
8L89372 8L89372 30.5
8L89372 8L89372 28.6
8L89372 8L89372 29.6
8L89374 8L89374 33.6
8L89376 8L89376 34.4
8L89376 8L89376 NA
8L89376 8L89376 34.9
8L89376 8L89376 NA
8L89377 8L89377 31.8
8L89377 8L89377 32.3
8L89377 8L89377 33
8L89377 8L89377 33.6
8L89377 8L89377 32.3
8L89377 8L89377 32.2
8L89377 8L89377 33.6
8L89377 8L89377 31.1
8L89379 8L89379 30.5
8L89379 8L89379 30.6
8L89380 8L89380 30.5
8L89384 8L89384 27.8
8L89384 8L89384 31
8L89384 8L89384 27.7
8L89384 8L89384 NA
8L89386 8L89386 32.5
8L89387 8L89387 29.5
8L89387 8L89387 28.2
8L89387 8L89387 33.7
8L89387 8L89387 33.6
8L89387 8L89387 36.1
8L89387 8L89387 29.3
8L89388 8L89388 32.2
8L89388 8L89388 NA
8L89388 8L89388 33.6
8L89388 8L89388 32.6
8L89388 8L89388 32.3
8L89388 8L89388 33.6
8L89388 8L89388 NA
8L89388 8L89388 32.5
8L89388 8L89388 32
8L89388 8L89388 32.8
8L89388 8L89388 35.2
8L89389 8L89389 31.9
8L89389 8L89389 31.8
8L89389 8L89389 NA
8L89389 8L89389 30.4
8L89389 8L89389 NA
8L89389 8L89389 30.5
8L89391 8L89391 30
8L89391 8L89391 29.2
8L89394 8L89394 33
8L89394 8L89394 32.5
8L89394 8L89394 31
8L89395 8L89395 33
8L89395 8L89395 31.3
8L89395 8L89395 29.5
8L89399 8L89399 26.4
8L89399 8L89399 26.6
8L89399 8L89399 NA
8L89399 8L89399 30.7
8L89399 8L89399 27
8L89399 8L89399 27
8L89399 8L89399 27
8L89399 8L89399 30.2
8L89399 8L89399 28.4
8L89412 8L89412 31.2
8L89412 8L89412 33
8L89423 8L89423 31
8L89423 8L89423 NA
8L89430 8L89430 30.7
8L89430 8L89430 30.6
8L89432 8L89432 32.2
8L89432 8L89432 35.5
8L89432 8L89432 NA
8L89432 8L89432 31.8
8L89432 8L89432 31.4
8L89432 8L89432 NA
8L89434 8L89434 31.1
8L89434 8L89434 30.2
8L89436 8L89436 33.8
8L89441 8L89441 33.7
8L89441 8L89441 NA
8L89441 8L89441 31.2
8L89441 8L89441 30.4
8L89456 8L89456 31.7
8L89456 8L89456 NA
8L89456 8L89456 32.1
8L89457 8L89457 33.4
8L89457 8L89457 NA
8L89460 8L89460 29.5
8L89460 8L89460 29.5
8L89461 8L89461 NA
8L89466 8L89466 35.5
8L89466 8L89466 33.8
8L89466 8L89466 33.2
8L89466 8L89466 NA
8L89467 8L89467 33.6
8L89470 8L89470 32.5
8L89471 8L89471 32.6
8L89471 8L89471 30.6
8L89471 8L89471 30.5
8L89471 8L89471 31
8L89471 8L89471 31.2
8L89471 8L89471 29.5
8L89471 8L89471 31.3
8L89471 8L89471 NA
8L89471 8L89471 NA
8L89471 8L89471 31.7
8L89475 8L89475 31
8L89475 8L89475 29.9
8L89476 8L89476 30.4
8L89476 8L89476 29.3
8L89476 8L89476 29
8L89477 8L89477 34
8L89478 8L89478 32.2
8L89479 8L89479 30.5
8L89479 8L89479 30
8L89479 8L89479 33.5
8L89480 8L89480 32
8L89480 8L89480 NA
8L89480 8L89480 31.5
8L89480 8L89480 29.6
8L89481 8L89481 32
8L89481 8L89481 29.9
8L89481 8L89481 29.9
8L89481 8L89481 31
8L89481 8L89481 30
8L89481 8L89481 31.1
8L89481 8L89481 NA
8L89482 8L89482 30.5
8L89483 8L89483 30.7
8L89484 8L89484 31.1
8L89485 8L89485 32.6
8L89486 8L89486 34.2
8L89486 8L89486 31.4
8L89486 8L89486 32.1
8L89486 8L89486 34.5
8L89487 8L89487 34.4
8L89487 8L89487 35.5
8L89488 8L89488 32.3
8L89488 8L89488 31
8L89488 8L89488 31.4
8L89489 8L89489 30
8L89490 8L89490 29.4
8L89491 8L89491 30.4
8L89492 8L89492 30.9
8L89493 8L89493 26.1
8L89493 8L89493 27
8L89494 8L89494 28.5
8L89494 8L89494 27.1
8L89495 8L89495 30
8L89496 8L89496 35.5
8L89496 8L89496 35.2
8L89496 8L89496 32.5
8L89497 8L89497 31.7
8L89497 8L89497 33.2
8L89497 8L89497 29.5
8L89497 8L89497 30.1
8L89498 8L89498 27.5
8L89499 8L89499 30.2
8L89500 8L89500 31.6
8L89502 8L89502 29.5
8L89502 8L89502 32
8L89503 8L89503 32.1
8L89503 8L89503 33.9
8L89503 8L89503 38
8L89503 8L89503 33.3
8L89507 8L89507 32.5
8L89507 8L89507 36.2
8L89507 8L89507 31.2
8L89508 8L89508 33
8L89508 8L89508 32.5
8L89508 8L89508 32.5
8L89509 8L89509 32.3
8L89512 8L89512 31.4
8L89514 8L89514 36.2
8L89516 8L89516 31.9
8L89516 8L89516 32.8
8L89516 8L89516 28.7
8L89516 8L89516 NA
8L89516 8L89516 31.2
8L89517 8L89517 34.2
8L89517 8L89517 32.2
8L89517 8L89517 29.6
8L89518 8L89518 31.4
8L89518 8L89518 29.6
8L89518 8L89518 NA
8L89518 8L89518 26.3
8L89519 8L89519 29.6
8L89519 8L89519 NA
8L89521 8L89521 32
8L89521 8L89521 33
8L89521 8L89521 33.4
8L89525 8L89525 32.7
8L89525 8L89525 32.5
8L89525 8L89525 31.8
8L89525 8L89525 33.2
8L89526 8L89526 31.5
8L89537 8L89537 30.6
8L89537 8L89537 29.6
8L89537 8L89537 NA
8L89538 8L89538 31.9
8L89539 8L89539 34.6
8L89540 8L89540 31.8
8L89541 8L89541 30.9
8L89542 8L89542 30.2
8L89543 8L89543 33.1
8L89545 8L89545 28.4
8L89546 8L89546 31.2
8L89546 8L89546 33.4
8L89547 8L89547 30.3
8L89547 8L89547 27.6
8L89547 8L89547 30
8L89547 8L89547 27.2
8L89547 8L89547 27
8L89547 8L89547 NA
8L89548 8L89548 31.6
8L89548 8L89548 30.3
8L89548 8L89548 32.5
8L89548 8L89548 31.2
8L89549 8L89549 29.3
8L89549 8L89549 29.4
8L89549 8L89549 30.5
8L89549 8L89549 30.3
8L89550 8L89550 31.3
8L89550 8L89550 28.8
8L89550 8L89550 31.2
8L89551 8L89551 26
8L89551 8L89551 27
8L89551 8L89551 26.7
8L89552 8L89552 29.5
8L89552 8L89552 30.7
8L89552 8L89552 31
8L89552 8L89552 31
8L89552 8L89552 29
8L89553 8L89553 31
8L89554 8L89554 29
8L89555 8L89555 31
8L89556 8L89556 30.2
8L89556 8L89556 27.5
8L89557 8L89557 29
8L89558 8L89558 25.8
8L89558 8L89558 NA
8L89559 8L89559 27.5
8L89560 8L89560 30.2
8L89561 8L89561 32.1
8L89562 8L89562 31.1
8L89562 8L89562 32.1
8L89562 8L89562 33.8
8L89563 8L89563 30.6
8L89563 8L89563 NA
8L89563 8L89563 32.8
8L89563 8L89563 29.2
8L89564 8L89564 30.3
8L89565 8L89565 30
8L89566 8L89566 32.6
8L89567 8L89567 30.1
8L89567 8L89567 31
8L89567 8L89567 31
8L89568 8L89568 31.5
8L89569 8L89569 31.6
8L89570 8L89570 30.5
8L89571 8L89571 27.1
8L89572 8L89572 32.5
8L89572 8L89572 32.8
8L89573 8L89573 30.2
8L89574 8L89574 31.9
8L89575 8L89575 33.5
8L89575 8L89575 32.3
8L89576 8L89576 31.3
8L89577 8L89577 29.7
8L89577 8L89577 NA
8L89578 8L89578 28.9
8L89578 8L89578 NA
8L89579 8L89579 29.5
8L89580 8L89580 32
8L89581 8L89581 28
8L89582 8L89582 30
8L89583 8L89583 33.2
8L89584 8L89584 30
8L89585 8L89585 31.3
8L89586 8L89586 30.3
8L89587 8L89587 31.2
8L89588 8L89588 30.9
8L89589 8L89589 30.5
8L89589 8L89589 31.5
8L89590 8L89590 32.3
8L89591 8L89591 NA
8L89592 8L89592 30.9
8L89593 8L89593 31
8L89594 8L89594 28
8L89595 8L89595 31.4
8L89596 8L89596 31.9
8L89596 8L89596 33
8L89597 8L89597 36.3
8L89597 8L89597 33
8L89598 8L89598 30.4
8L89599 8L89599 33.5
8L89599 8L89599 30.6
8L89599 8L89599 29.3
8L89600 8L89600 31.4
8L89605 8L89605 NA
8L89613 8L89613 32.7
8L89613 8L89613 NA
8L89613 8L89613 31.9
8L89613 8L89613 33
8L89613 8L89613 33.1
8L89614 8L89614 28.5
8L89614 8L89614 28
8L89615 8L89615 31.1
8L89615 8L89615 30
8L89615 8L89615 30
8L89615 8L89615 30
8L89622 8L89622 32
8L89622 8L89622 NA
8L89622 8L89622 31.9
8L89622 8L89622 31.4
8L89622 8L89622 32.7
8L89626 8L89626 29.8
8L89626 8L89626 30.4
8L89634 8L89634 31.5
8L89634 8L89634 31.5
8L89634 8L89634 32
8L89634 8L89634 31.3
8L89634 8L89634 30.5
8L89634 8L89634 33.1
8L89634 8L89634 NA
8L89637 8L89637 NA
8L89637 8L89637 32
8L89637 8L89637 32
8L89637 8L89637 32
8L89637 8L89637 32
8L89637 8L89637 34
8L89637 8L89637 33.5
8L89639 8L89639 NA
8L89639 8L89639 29
8L89640 8L89640 32.9
8L89641 8L89641 37.7
8L89641 8L89641 30.8
8L89642 8L89642 33.6
8L89642 8L89642 34.2
8L89642 8L89642 30.8
8L89642 8L89642 29
8L89644 8L89644 31.1
8L89644 8L89644 32.5
8L89645 8L89645 29.4
8L89646 8L89646 32.4
8L89646 8L89646 NA
8L89650 8L89650 34.4
8L89650 8L89650 31.2
8L89652 8L89652 31.3
8L89654 8L89654 28
8L89654 8L89654 28
8L89654 8L89654 28
8L89654 8L89654 26.5
8L89655 8L89655 29.2
8L89655 8L89655 28.8
8L89655 8L89655 28.5
8L89663 8L89663 30.6
8L89663 8L89663 32.2
8L89663 8L89663 31
8L89664 8L89664 31
8L89665 8L89665 31.6
8L89669 8L89669 32.7
8L89675 8L89675 NA
8L89682 8L89682 37.3
8L89682 8L89682 34
8L89689 8L89689 30
8L89689 8L89689 32.5
8L89691 8L89691 NA
8L89691 8L89691 30.4
8L89692 8L89692 33.8
8L89692 8L89692 32.4
8L89692 8L89692 32.3
8L89704 8L89704 33
8L89704 8L89704 31.5
8L89704 8L89704 NA
8L89704 8L89704 32.8
8L89704 8L89704 32.8
8L89704 8L89704 34.2
8L89704 8L89704 NA
8L89704 8L89704 30.9
8L89709 8L89709 31.5
8L89712 8L89712 NA
8L89713 8L89713 32.7
8L89713 8L89713 33
8L89714 8L89714 30.1
8L89718 8L89718 29.7
8L89718 8L89718 31
8L89720 8L89720 31.3
8L89720 8L89720 28.3
8L89722 8L89722 26.9
8L89722 8L89722 30.2
8L89723 8L89723 34
8L89723 8L89723 30.1
8L89723 8L89723 32.6
8L89724 8L89724 35.4
8L89724 8L89724 34
8L89725 8L89725 31.2
8L89725 8L89725 31.2
8L89725 8L89725 31.6
8L89728 8L89728 28.8
8L89728 8L89728 32.5
8L89728 8L89728 30.6
8L89731 8L89731 29.9
8L89734 8L89734 31.7
8L89739 8L89739 35.1
8L89739 8L89739 35.4
8L89741 8L89741 30.1
8L89741 8L89741 31.6
8L89742 8L89742 32.9
8L89742 8L89742 29.3
8L89742 8L89742 NA
8L89742 8L89742 31.4
8L89742 8L89742 29.6
8L89742 8L89742 28.8
8L89748 8L89748 28.5
8L89751 8L89751 31.4
8L89752 8L89752 31.6
8L89753 8L89753 33.2
8L89753 8L89753 32
8L89754 8L89754 31.3
8L89754 8L89754 36.3
8L89754 8L89754 32.5
8L89754 8L89754 31
8L89755 8L89755 32.3
8L89757 8L89757 34.4
8L89758 8L89758 33.6
8L89758 8L89758 32.6
8L89759 8L89759 34.8
8L89760 8L89760 33.1
8L89760 8L89760 30.8
8L89761 8L89761 32
8L89762 8L89762 34.6
8L89762 8L89762 33.2
8L89762 8L89762 33
8L89763 8L89763 34
8L89763 8L89763 34
8L89764 8L89764 33.5
8L89764 8L89764 30.4
8L89764 8L89764 31.5
8L89764 8L89764 31.5
8L89765 8L89765 33.8
8L89765 8L89765 32.6
8L89765 8L89765 33.3
8L89765 8L89765 NA
8L89766 8L89766 32.7
8L89766 8L89766 30.8
8L89767 8L89767 35
8L89768 8L89768 30.8
8L89769 8L89769 31.3
8L89770 8L89770 31.3
8L89770 8L89770 31.6
8L89770 8L89770 31.6
8L89770 8L89770 31.3
8L89770 8L89770 31.2
8L89771 8L89771 28.4
8L89772 8L89772 34.2
8L89772 8L89772 34.1
8L89772 8L89772 31.4
8L89773 8L89773 35.2
8L89773 8L89773 32.3
8L89774 8L89774 30.7
8L89775 8L89775 32.6
8L89775 8L89775 31.9
8L89776 8L89776 31.7
8L89777 8L89777 32.2
8L89778 8L89778 33.4
8L89779 8L89779 33.8
8L89779 8L89779 34.4
8L89779 8L89779 30.3
8L89780 8L89780 32.9
8L89781 8L89781 30.3
8L89781 8L89781 29.1
8L89782 8L89782 31.6
8L89783 8L89783 29.8
8L89784 8L89784 30.9
8L89784 8L89784 31.2
8L89784 8L89784 29.5
8L89784 8L89784 30
8L89784 8L89784 NA
8L89784 8L89784 30
8L89784 8L89784 33
8L89785 8L89785 30.5
8L89786 8L89786 30.9
8L89786 8L89786 30.8
8L89786 8L89786 32.7
8L89786 8L89786 29.5
8L89786 8L89786 32
8L89787 8L89787 31.7
8L89787 8L89787 31.6
8L89788 8L89788 29.8
8L89789 8L89789 31.6
8L89790 8L89790 32
8L89791 8L89791 29.6
8L89792 8L89792 31.4
8L89793 8L89793 29
8L89793 8L89793 29.1
8L89804 8L89804 32
8L89808 8L89808 31
8L89808 8L89808 30.4
8L89808 8L89808 NA
8L89808 8L89808 29.5
8L89808 8L89808 29.5
8L89808 8L89808 32.7
8L89808 8L89808 31.4
8L89808 8L89808 NA
8L89808 8L89808 NA
8L89822 8L89822 30.4
8L89822 8L89822 30.6
8L89822 8L89822 27.4
8L89836 8L89836 33.6
8L89836 8L89836 31.2
8L89836 8L89836 32.6
8L89836 8L89836 36.2
8L89844 8L89844 31.5
8L89845 8L89845 31.1
8L89845 8L89845 NA
8L89847 8L89847 33
8L89847 8L89847 33
8L89847 8L89847 32.1
8L89847 8L89847 31.4
8L89847 8L89847 30.4
8L89848 8L89848 NA
8L89894 8L89894 30.5
8L89894 8L89894 NA
8L89896 8L89896 32.1
8L89896 8L89896 28.8
8L89915 8L89915 30.5
8L89979 8L89979 28
8L89979 8L89979 29
8L89979 8L89979 28.6
8L89979 8L89979 29.7
8L89979 8L89979 29.4
8L89979 8L89979 28.6
8L89979 8L89979 27.3
8L89979 8L89979 28.2
8L89979 8L89979 28.2
8L89981 8L89981 29.9
8L89988 8L89988 27.7
8L89992 8L89992 30.8
8L89994 8L89994 30.3
8L89995 8L89995 33.8
8L89995 8L89995 30.6
8L89998 8L89998 30.5
8L89998 8L89998 31.6
8L89998 8L89998 30.1
8M31028 8M31028 29.8
8M31035 8M31035 30.8
8M31041 8M31041 29.7
8M31084 8M31084 33
8M31109 8M31109 28.3
8M31109 8M31109 27.2
8M31112 8M31112 29.7
8M31115 8M31115 31.8
8M31126 8M31126 31.1
8M31127 8M31127 29.3
8M31147 8M31147 31.8
8M31147 8M31147 28.9
8M31147 8M31147 29
8M31164 8M31164 26.9
8M31165 8M31165 30
8M31165 8M31165 30.9
8M31167 8M31167 32.3
8M31192 8M31192 29.6
8M31197 8M31197 35.1
8M31202 8M31202 33.8
8M31206 8M31206 32
8M31207 8M31207 35.2
8M31208 8M31208 29.2
8M31209 8M31209 30.6
8M31209 8M31209 28.9
8M31209 8M31209 29
8M31209 8M31209 32.1
8M31209 8M31209 30.6
8M31210 8M31210 33
8M31210 8M31210 31.8
8M31210 8M31210 31.5
8M31210 8M31210 30
8M31210 8M31210 30
8M31210 8M31210 29.9
8M31210 8M31210 29.2
8M31211 8M31211 32.3
8M31211 8M31211 29.3
8M31212 8M31212 33.7
8M31212 8M31212 33.1
8M31212 8M31212 33.5
8M31212 8M31212 31
8M31213 8M31213 34.5
8M31214 8M31214 27.7
8M31214 8M31214 30.7
8M31214 8M31214 30.6
8M31215 8M31215 27
8M31216 8M31216 35.4
8M31216 8M31216 31.5
8M31216 8M31216 34.1
8M31216 8M31216 33.7
8M31216 8M31216 NA
8M31217 8M31217 30.5
8M31217 8M31217 29.6
8M31218 8M31218 33.8
8M31219 8M31219 29.3
8M31219 8M31219 29.1
8M31219 8M31219 30.2
8M31219 8M31219 30.5
8M31219 8M31219 29.9
8M31219 8M31219 NA
8M31220 8M31220 30.6
8M31220 8M31220 29
8M31220 8M31220 29
8M31221 8M31221 28.3
8M31221 8M31221 30.4
8M31221 8M31221 30.5
8M31222 8M31222 29
8M31223 8M31223 29.7
8M31224 8M31224 29.7
8M31224 8M31224 28.9
8M31225 8M31225 30.9
8M31226 8M31226 32.3
8M31227 8M31227 31
8M31228 8M31228 33
8M31229 8M31229 32.3
8M31229 8M31229 32.4
8M31229 8M31229 32.1
8M31230 8M31230 32.2
8M31231 8M31231 32.4
8M31232 8M31232 33.3
8M31232 8M31232 33
8M31232 8M31232 36.5
8M31233 8M31233 30
8M31233 8M31233 29.8
8M31234 8M31234 29.1
8M31235 8M31235 29
8M31236 8M31236 31
8M31236 8M31236 30.9
8M31237 8M31237 30.2
8M31237 8M31237 32.9
8M31238 8M31238 31.2
8M31239 8M31239 29.5
8M31239 8M31239 29.4
8M31240 8M31240 27.2
8M31241 8M31241 31.3
8M31241 8M31241 31.3
8M31242 8M31242 31.2
8M31242 8M31242 31
8M31243 8M31243 33
8M31243 8M31243 33.2
8M31244 8M31244 30.5
8M31244 8M31244 30.3
8M31245 8M31245 27.5
8M31245 8M31245 27
8M31245 8M31245 26.9
8M31246 8M31246 31.8
8M31246 8M31246 31.5
8M31247 8M31247 31.6
8M31247 8M31247 31.6
8M31248 8M31248 30.6
8M31248 8M31248 30.5
8M31249 8M31249 29.5
8M31249 8M31249 29.4
8M31250 8M31250 29.6
8M31250 8M31250 29.5
8M31253 8M31253 32.6
8M31254 8M31254 30.8
8M31255 8M31255 33.6
8M31255 8M31255 34.3
8M31262 8M31262 33.5
8M31262 8M31262 34
8M31262 8M31262 33.2
8M31266 8M31266 32.2
8M31268 8M31268 32
8M31269 8M31269 31.3
8M31277 8M31277 27.8
8M31277 8M31277 28.3
8M31278 8M31278 33.6
8M31281 8M31281 32.6
8M31282 8M31282 35.6
8M31283 8M31283 32.3
8M31283 8M31283 31.4
8M31283 8M31283 29.7
8M31285 8M31285 37.5
8M31285 8M31285 31.1
8M31288 8M31288 33
8M31290 8M31290 29.9
8M31290 8M31290 28
8M31290 8M31290 29.1
8M31291 8M31291 32.6
8M31293 8M31293 29.5
8M31293 8M31293 30.3
8M31294 8M31294 31.3
8M31294 8M31294 34.1
8M31294 8M31294 31.6
8M31297 8M31297 30.1
8M31297 8M31297 28.9
8M31304 8M31304 30
8M31304 8M31304 29.4
8M31304 8M31304 NA
8M31304 8M31304 28
8M31304 8M31304 28.5
8M31304 8M31304 30.5
8M31304 8M31304 30.5
8M31305 8M31305 33
8M31305 8M31305 31
8M31305 8M31305 32.2
8M31305 8M31305 32.2
8M31305 8M31305 32.8
8M31305 8M31305 NA
8M31317 8M31317 29.7
8M31317 8M31317 28.1
8M31317 8M31317 30.4
8M31325 8M31325 31.9
8M31325 8M31325 31.4
8M31325 8M31325 32
8M31326 8M31326 NA
8M31327 8M31327 32.3
8M31328 8M31328 34.5
8M31328 8M31328 34
8M31329 8M31329 31.2
8M31331 8M31331 35
8M31331 8M31331 34
8M31331 8M31331 35
8M31331 8M31331 33.3
8M31331 8M31331 33.8
8M31331 8M31331 27.9
8M31334 8M31334 31.6
8M31334 8M31334 31.6
8M31334 8M31334 31.6
8M31337 8M31337 NA
8M31337 8M31337 28.2
8M31337 8M31337 NA
8M31338 8M31338 27.8
8M31338 8M31338 30.3
8M31342 8M31342 31.6
8M31342 8M31342 32.1
8M31344 8M31344 31.8
8M31344 8M31344 31.8
8M31352 8M31352 35
8M31352 8M31352 33.6
8M31356 8M31356 39.2
8M31360 8M31360 35
8M31360 8M31360 31
8M31360 8M31360 NA
8M31365 8M31365 30
8M31370 8M31370 36.5
8M31370 8M31370 36.5
8M31370 8M31370 32.9
8M31372 8M31372 NA
8M31372 8M31372 32.5
8M31372 8M31372 31.4
8M31374 8M31374 39
8M31374 8M31374 32.4
8M31374 8M31374 33.9
8M31379 8M31379 NA
8M31382 8M31382 33.9
8M31382 8M31382 33.9
8M31382 8M31382 31.5
8M31382 8M31382 31
8M31382 8M31382 30.9
8M31385 8M31385 36.1
8M31385 8M31385 33.4
8M31385 8M31385 33.6
8M31385 8M31385 32.3
8M31398 8M31398 36.8
8M31398 8M31398 29.5
8M31420 8M31420 35.2
8M31421 8M31421 30.1
8M31426 8M31426 31.5
8M31426 8M31426 29.2
8M31426 8M31426 30.2
8M31426 8M31426 30.2
8M31426 8M31426 30.2
8M31433 8M31433 31
8M31433 8M31433 29.9
8M31433 8M31433 28.7
8M31435 8M31435 NA
8M31435 8M31435 38.6
8M31438 8M31438 34.3
8M31438 8M31438 32
8M31438 8M31438 34.5
8M31444 8M31444 32.1
8M31444 8M31444 28.5
8M31445 8M31445 27.9
8M31445 8M31445 29.9
8M31452 8M31452 NA
8M31452 8M31452 32
8M31452 8M31452 32
8M31452 8M31452 32
8M31452 8M31452 31
8M31452 8M31452 30.8
8M31452 8M31452 31
8M31452 8M31452 31.5
8M31452 8M31452 NA
8M31452 8M31452 31
8M31452 8M31452 31.6
8M31468 8M31468 32.7
8M31468 8M31468 31.2
8M31476 8M31476 NA
8M31476 8M31476 37
8M31476 8M31476 32.2
8M31476 8M31476 36.2
8M31476 8M31476 NA
8M31476 8M31476 32.6
8M31480 8M31480 NA
8M31480 8M31480 33.5
8M31480 8M31480 33.5
8M31480 8M31480 33.5
8M31483 8M31483 32.9
8M31484 8M31484 32
8M31484 8M31484 32
8M31484 8M31484 32.9
8M31484 8M31484 33.2
8M31484 8M31484 34.1
8M31485 8M31485 28.5
8M31485 8M31485 31.2
8M31495 8M31495 32.6
8M31495 8M31495 34.3
8M31495 8M31495 32.2
8M31497 8M31497 30.7
8M31497 8M31497 30.9
8M31497 8M31497 29.5
8M31497 8M31497 29.6
8M31503 8M31503 29.8
8M31503 8M31503 33.3
8M31504 8M31504 27.8
8M31504 8M31504 28.8
8M31507 8M31507 30.4
8M31507 8M31507 29.9
8M31507 8M31507 NA
8M31507 8M31507 30.5
8M31508 8M31508 33.9
8M31509 8M31509 33.7
8M31516 8M31516 35
8M31522 8M31522 30.4
8M31522 8M31522 33.2
8M31522 8M31522 33.3
8M31524 8M31524 31.8
8M31524 8M31524 NA
8M31525 8M31525 36.1
8M31526 8M31526 32.2
8M31527 8M31527 NA
8M31532 8M31532 34.2
8M31541 8M31541 30.7
8M31542 8M31542 32.2
8M31542 8M31542 29.2
8M31543 8M31543 30
8M31543 8M31543 28.2
8M31544 8M31544 33.1
8M31544 8M31544 32.5
8M31544 8M31544 31.8
8M31545 8M31545 NA
8M31546 8M31546 32.5
8M31547 8M31547 33
8M31548 8M31548 31.5
8M31548 8M31548 34.3
8M31550 8M31550 33.6
8M31550 8M31550 29
8M31550 8M31550 29.6
8M31550 8M31550 32.3
8M31550 8M31550 33.1
8M31550 8M31550 31
8M31550 8M31550 32
8M31551 8M31551 33.6
8M31551 8M31551 34
8M31552 8M31552 30.9
8M31554 8M31554 30.4
8M31554 8M31554 32
8M31554 8M31554 32
8M31554 8M31554 32
8M31554 8M31554 34.6
