FID IID mass
8414873 8414873 30.1
8414873 8414873 30.3
8414873 8414873 31.2
8414873 8414873 32
8414873 8414873 30.4
8414874 8414874 34.3
8414875 8414875 32.8
8414876 8414876 32.2
8414876 8414876 32.5
8414877 8414877 30.1
8414878 8414878 33.3
8414879 8414879 29
8414879 8414879 32.7
8414879 8414879 30
8414879 8414879 30.4
8414880 8414880 32.7
8414880 8414880 30
8414881 8414881 35.7
8414882 8414882 35.1
8414883 8414883 33.8
8414884 8414884 33.7
8414885 8414885 35.5
8414886 8414886 32
8414887 8414887 35.3
8414888 8414888 33.3
8414888 8414888 34.6
8414888 8414888 33.8
8414889 8414889 36.3
8414890 8414890 31.5
8414890 8414890 33.2
8414890 8414890 32.6
8414892 8414892 31.8
8414892 8414892 32.3
8414892 8414892 33.4
8414892 8414892 32
8414892 8414892 32.2
8414894 8414894 30.6
8414901 8414901 30.6
8414902 8414902 32.2
8414902 8414902 33.8
8414903 8414903 29
8414904 8414904 30.6
8414905 8414905 31.6
8414905 8414905 31.1
8414905 8414905 33.8
8414905 8414905 32.7
8414905 8414905 32.4
8414905 8414905 40.1
8414905 8414905 31.6
8414906 8414906 30.6
8414907 8414907 32.2
8414908 8414908 35.7
8414909 8414909 31.8
8414910 8414910 35.9
8414910 8414910 33.4
8414910 8414910 33.7
8414910 8414910 NA
8414910 8414910 NA
8414910 8414910 31.6
8414910 8414910 32.4
8414910 8414910 35
8414910 8414910 35
8414910 8414910 NA
8414910 8414910 36.5
8414911 8414911 34
8414911 8414911 33.2
8414911 8414911 32.7
8414911 8414911 38.7
8414912 8414912 31
8414912 8414912 34.3
8414912 8414912 31.3
8414913 8414913 34.7
8414913 8414913 36.9
8414913 8414913 NA
8414913 8414913 33.2
8414913 8414913 34
8414913 8414913 33.1
8414913 8414913 33.1
8414913 8414913 NA
8414914 8414914 32.7
8414915 8414915 38
8414915 8414915 33.5
8414915 8414915 NA
8414915 8414915 NA
8414915 8414915 32.6
8414915 8414915 33.5
8414916 8414916 30.5
8414917 8414917 35.7
8414917 8414917 37.2
8414917 8414917 34.7
8414917 8414917 33.1
8414917 8414917 37.5
8414918 8414918 31.7
8414918 8414918 33.4
8414918 8414918 31.8
8414918 8414918 36
8414919 8414919 34.5
8414919 8414919 37.2
8414919 8414919 NA
8414919 8414919 33.3
8414919 8414919 39.3
8414920 8414920 31.7
8414921 8414921 30.5
8414921 8414921 33.7
8414922 8414922 30.3
8414923 8414923 32.1
8414923 8414923 31.8
8414923 8414923 35.3
8414923 8414923 NA
8414923 8414923 NA
8414923 8414923 33.2
8414923 8414923 36.2
8414924 8414924 31.5
8414925 8414925 29.8
8414925 8414925 NA
8414926 8414926 32.3
8414926 8414926 34.3
8414927 8414927 30.5
8414928 8414928 34.8
8414928 8414928 36.4
8414928 8414928 40.6
8414928 8414928 39.4
8414928 8414928 NA
8414928 8414928 35.8
8414929 8414929 33.2
8414929 8414929 32
8414929 8414929 31.7
8414929 8414929 32.4
8414929 8414929 33.8
8414930 8414930 33.5
8414930 8414930 35.8
8414930 8414930 35.6
8414930 8414930 34.8
8414930 8414930 35.3
8414930 8414930 33.6
8414930 8414930 35.3
8414930 8414930 38.4
8414931 8414931 34
8414931 8414931 37.7
8414932 8414932 32.6
8414933 8414933 30.7
8414933 8414933 31.5
8414933 8414933 31.6
8414933 8414933 31.9
8414933 8414933 31.5
8414933 8414933 30.5
8414933 8414933 33.2
8414933 8414933 32
8414933 8414933 34.5
8414933 8414933 35.6
8414933 8414933 34.5
8414934 8414934 31.2
8414935 8414935 31
8414935 8414935 33.2
8414935 8414935 32.7
8414935 8414935 34.8
8414935 8414935 32.4
8414936 8414936 35.3
8414936 8414936 34.4
8414936 8414936 34.3
8414936 8414936 NA
8414936 8414936 31.2
8414937 8414937 32.8
8414937 8414937 30.3
8414937 8414937 32.7
8414937 8414937 33.2
8414937 8414937 35.5
8414938 8414938 32.6
8414938 8414938 32.1
8414939 8414939 29.6
8414940 8414940 36.4
8414941 8414941 32.3
8414942 8414942 30.3
8414942 8414942 31
8414942 8414942 32.2
8414943 8414943 31.5
8414943 8414943 34.7
8414943 8414943 35.6
8414943 8414943 32.3
8414943 8414943 32.3
8414943 8414943 33.3
8414943 8414943 33.9
8414944 8414944 28.4
8414944 8414944 30.5
8414945 8414945 33.2
8414945 8414945 32.9
8414945 8414945 33.6
8414946 8414946 30.7
8414946 8414946 34.6
8414947 8414947 31.7
8414947 8414947 31.8
8414948 8414948 32
8414948 8414948 33
8414948 8414948 33.2
8414948 8414948 35.8
8414948 8414948 34.3
8414948 8414948 NA
8414948 8414948 32.6
8414948 8414948 34.3
8414948 8414948 33.4
8414949 8414949 30.7
8414949 8414949 33.6
8414949 8414949 34
8414949 8414949 32.6
8414950 8414950 32
8414950 8414950 32.2
8414950 8414950 32.1
8414950 8414950 34.1
8414950 8414950 35.3
8537602 8537602 32.6
8537602 8537602 32.4
8537602 8537602 NA
8537602 8537602 32.8
8537602 8537602 NA
8537602 8537602 32.9
8537602 8537602 33
8537602 8537602 33
8537602 8537602 33.2
8537602 8537602 34
8537605 8537605 31.7
8537605 8537605 33.2
8537605 8537605 32.9
8537605 8537605 32.3
8537605 8537605 29.5
8537609 8537609 31.4
8537609 8537609 30.5
8537609 8537609 29.3
8537609 8537609 30.6
8537609 8537609 30.6
8537612 8537612 NA
8537612 8537612 30.8
8537612 8537612 33.8
8537612 8537612 31.7
8537612 8537612 31.7
8537612 8537612 28.8
8537612 8537612 29.4
8537612 8537612 37.6
8537612 8537612 30.5
8537612 8537612 35.3
8537612 8537612 30.3
8537615 8537615 41.5
8537615 8537615 36.9
8537617 8537617 34.7
8537617 8537617 34.5
8537617 8537617 34.5
8537617 8537617 37.9
8537619 8537619 NA
8537619 8537619 33.6
8537619 8537619 36.5
8537619 8537619 34.3
8537619 8537619 33.3
8537619 8537619 37.3
8537623 8537623 33.4
8537623 8537623 36.3
8537623 8537623 35.5
8537623 8537623 33.5
8537636 8537636 31.6
8537636 8537636 30.8
8537636 8537636 33.7
8537636 8537636 31.8
8537636 8537636 30.7
8537636 8537636 30.3
8537636 8537636 33.7
8537650 8537650 35.4
8537650 8537650 35.4
8537652 8537652 30.6
8537652 8537652 29.8
8537652 8537652 33
8537652 8537652 31.8
8537655 8537655 30.8
8537660 8537660 33.7
8537660 8537660 32.3
8537660 8537660 32.7
