FID IID thr_wing
8414562 8414562 NA
8414562 8414562 82
8414562 8414562 79.78
8414562 8414562 81
8414562 8414562 82
8414562 8414562 85.64
8414562 8414562 82.41
8414562 8414562 82
8414562 8414562 NA
8414562 8414562 NA
8414563 8414563 81.5
8414564 8414564 79.5
8414564 8414564 82.7
8414564 8414564 81
8414564 8414564 82
8414565 8414565 79
8414565 8414565 NA
8414566 8414566 84.5
8414567 8414567 80
8414567 8414567 NA
8414568 8414568 80
8414569 8414569 82
8414570 8414570 80
8414570 8414570 NA
8414571 8414571 80
8414572 8414572 82
8414572 8414572 NA
8414572 8414572 NA
8414573 8414573 79
8414573 8414573 NA
8414573 8414573 NA
8414574 8414574 78
8414574 8414574 NA
8414574 8414574 NA
8414574 8414574 80
8414574 8414574 81.64
8414575 8414575 78.5
8414575 8414575 NA
8414575 8414575 80
8414576 8414576 79.5
8414576 8414576 80.64
8414576 8414576 82
8414582 8414582 80.64
8414582 8414582 NA
8414582 8414582 80.64
8414582 8414582 NA
8414587 8414587 80
8414588 8414588 79.5
8414589 8414589 80
8414590 8414590 82
8414590 8414590 NA
8414590 8414590 NA
8414591 8414591 78.5
8414591 8414591 NA
8414591 8414591 NA
8414592 8414592 82
8414592 8414592 NA
8414593 8414593 79
8414593 8414593 NA
8414593 8414593 81
8414593 8414593 80
8414594 8414594 80.1
8414595 8414595 81.5
8414595 8414595 82.5
8414596 8414596 80
8414596 8414596 79
8414596 8414596 79.7
8414596 8414596 NA
8414596 8414596 78.7
8414597 8414597 81
8414597 8414597 80
8414597 8414597 80.61
8414598 8414598 78
8414598 8414598 NA
8414598 8414598 NA
8414598 8414598 NA
8414599 8414599 85
8414599 8414599 NA
8414600 8414600 81
8414600 8414600 NA
8414801 8414801 75
8414801 8414801 75.64
8414801 8414801 76
8414801 8414801 74
8414801 8414801 76.61
8414801 8414801 77
8414802 8414802 77
8414802 8414802 NA
8414802 8414802 NA
8414802 8414802 78.64
8414803 8414803 79.5
8414804 8414804 83
8414805 8414805 80
8414805 8414805 81
8414805 8414805 77
8414806 8414806 79
8414806 8414806 NA
8414806 8414806 83.64
